1,Anette Clowser,Chennai,84477
2,Jarret Saterthwait,Mysore,47527
3,Bradley Matthensen,Trivandrum,39515
4,Lambert Donaldson,Mysore,92964
5,Val Eberlein,Trivandrum,85145
6,Jessi Kloser,Mumbai,73216
7,Amalia Adair,Vizag,97456
8,Karen Shankle,Trivandrum,30952
9,Ryan Ughini,Nagpur,64405
10,Dar Frail,Mumbai,63186
11,Reinold Castanie,Bangalore,98698
12,Mateo MacCaffery,Nagpur,95503
13,Ebeneser Scally,Mysore,30778
14,Halie Swindles,Chennai,37633
15,Keefer Maffei,Mumbai,51695
16,Tommi Bohler,Vizag,66491
17,Brigid Smithers,Chennai,29585
18,Prince Bew,Trivandrum,93065
19,Marget Agiolfinger,Trivandrum,82651
20,Jeanelle Leuchars,Pune,79826
21,Idaline Gaylor,Chennai,20703
22,Jilleen Blaxeland,Vizag,58704
23,Cortney Leward,Mumbai,23561
24,Bendick Cess,Mumbai,20163
25,Cesare Bointon,Bangalore,40369
26,Hirsch Bignal,Mumbai,47383
27,Dale Temlett,Chennai,28495
28,Laurella Pyvis,Pune,74524
29,Stevy Skep,Mysore,81098
30,Eliza Village,Mysore,33767
31,Zak Gossage,Mumbai,86854
32,Yurik Scutchings,Vizag,85029
33,Dalila Pietersma,Mysore,91238
34,Nolan Lattie,Mumbai,37408
35,Melody Antusch,Nagpur,87358
36,Klemens Roj,Bangalore,49097
37,Anastassia Topper,Pune,73208
38,Edsel Codron,Vizag,91719
39,Elie Freckelton,Pune,70364
40,Pete Kelle,Mysore,23790
41,Maynard Frean,Mumbai,21690
42,Roley Grevatt,Bangalore,47502
43,Euell Gwynne,Chennai,70555
44,Eleonora Hardcastle,Chennai,63522
45,Agna Haythorn,Mysore,90771
46,Gaye Barnwille,Pune,61102
47,Elspeth Kinane,Vizag,48789
48,Paulo Kairns,Mumbai,49912
49,Silvano Widdowfield,Bangalore,45646
50,Nanete Rault,Vizag,95661
51,Dana Margram,Chennai,22202
52,Phedra Rosten,Nagpur,82812
53,Mommy Creaser,Chennai,34370
54,Ronny Gammack,Hyderabad,58786
55,Elysha Klamp,Trivandrum,45424
56,Arlana Warratt,Mysore,63648
57,Kania Danks,Pune,82478
58,Hetti Eynald,Nagpur,66630
59,Germaine Asman,Pune,90900
60,Friedrich Beelby,Pune,26123
61,Baxy Loyns,Mumbai,38934
62,Hollyanne Pagitt,Hyderabad,48446
63,Catriona Tunstall,Hyderabad,73523
64,Astrid Chilver,Nagpur,57362
65,Cory Hearse,Pune,48788
66,Kit Dumbrall,Bangalore,26112
67,Rube Rentalll,Mysore,31278
68,Jamil Magwood,Nagpur,22901
69,Rufus Castiglioni,Nagpur,65253
70,Elvira Strick,Trivandrum,71273
71,Sydney Giroldi,Nagpur,72682
72,Tulley Happs,Pune,26569
73,Imelda Heather,Pune,92820
74,Brandise Figgess,Nagpur,37135
75,Sara-ann Castelain,Chennai,65659
76,Chad Beamont,Hyderabad,43889
77,Ximenez Ashleigh,Bangalore,45467
78,Marlin Toynbee,Pune,85864
79,Christal Iacovo,Bangalore,48758
